"Reaction Groups";"Fatal";"Not Recovered/Not Resolved";"Not Specified";"Recovered/Resolved";"Recovered/Resolved With Sequelae";"Recovering/Resolving";"Unknown";_drug
"Blood and lymphatic system disorders";142;7866;0;6898;206;5869;3048;"TOZINAMERAN "
"Cardiac disorders";1644;5071;0;7680;554;4769;4372;"TOZINAMERAN "
"Congenital, familial and genetic disorders";16;74;0;35;9;29;58;"TOZINAMERAN "
"Ear and labyrinth disorders";8;4310;0;3418;215;2191;1696;"TOZINAMERAN "
"Endocrine disorders";5;232;0;76;17;134;149;"TOZINAMERAN "
"Eye disorders";27;4051;0;4274;269;2721;2717;"TOZINAMERAN "
"Gastrointestinal disorders";466;16373;0;35828;812;17700;10285;"TOZINAMERAN "
"General disorders and administration site conditions";3085;52960;0;111099;1759;54296;37514;"TOZINAMERAN "
"Hepatobiliary disorders";52;203;0;165;24;269;252;"TOZINAMERAN "
"Immune system disorders";60;978;0;4537;124;1784;2087;"TOZINAMERAN "
"Infections and infestations";1072;6733;0;5973;382;5937;9108;"TOZINAMERAN "
"Injury, poisoning and procedural complications";167;1276;0;1557;93;936;7223;"TOZINAMERAN "
"Investigations";346;4334;0;7601;241;4006;5721;"TOZINAMERAN "
"Metabolism and nutrition disorders";198;1452;0;1889;86;1194;1699;"TOZINAMERAN "
"Musculoskeletal and connective tissue disorders";139;29542;0;50922;972;26310;14726;"TOZINAMERAN "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";56;210;0;39;10;57;286;"TOZINAMERAN "
"Nervous system disorders";1212;37838;0;67142;2306;33180;22337;"TOZINAMERAN "
"Pregnancy, puerperium and perinatal conditions";33;134;0;252;85;149;365;"TOZINAMERAN "
"Product issues";1;22;0;17;2;12;103;"TOZINAMERAN "
"Psychiatric disorders";146;3858;0;5361;198;2700;3986;"TOZINAMERAN "
"Renal and urinary disorders";178;708;0;742;55;504;802;"TOZINAMERAN "
"Reproductive system and breast disorders";3;5704;0;3188;182;2067;3232;"TOZINAMERAN "
"Respiratory, thoracic and mediastinal disorders";1301;9460;0;12812;597;8654;7787;"TOZINAMERAN "
"Skin and subcutaneous tissue disorders";95;10776;0;15799;379;9350;7669;"TOZINAMERAN "
"Social circumstances";13;433;0;317;13;139;605;"TOZINAMERAN "
"Surgical and medical procedures";30;113;0;124;24;98;324;"TOZINAMERAN "
"Vascular disorders";465;5446;0;8276;396;5185;4880;"TOZINAMERAN "
"Blood and lymphatic system disorders";52;1781;0;1165;19;936;702;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Vascular disorders";224;1847;0;2143;46;719;1722;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Surgical and medical procedures";60;176;0;177;2;18;355;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Social circumstances";22;503;0;202;3;21;290;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Skin and subcutaneous tissue disorders";48;4040;0;4506;52;2268;2690;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Respiratory, thoracic and mediastinal disorders";566;3186;0;3180;60;1111;2810;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Reproductive system and breast disorders";2;995;0;650;22;342;507;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Renal and urinary disorders";99;388;0;406;11;101;467;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Psychiatric disorders";102;1340;0;1589;25;376;1409;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Product issues";0;3;0;28;0;0;17;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
